z,fixedEffect
0.22717032,0.02840369
1.1581429,0.048525162
0.35639572,0.030275783
0.48929381,0.28825733
0.68142408,0.063230015
0.25719222,0.1405894
0.16858894,0.096891135
-0.31947991,0.05390523
0.36241329,-0.006889229
-0.35139284,0.06500639
-0.53246039,-0.003314456
0.051783737,0.01650868
-0.225198,-0.004917614
0.42420447,-0.003314456
-0.42274258,-0.12703104
0.67901212,0.30203837
0.025691031,-0.060503781
0.87669259,0.029155113
0.19282962,-0.002134598
0.066981494,-0.011317786
0.87629199,-0.003314456
0.3910833,0.010816482
-0.52505803,0.064548425
0.049275283,-0.003314456
-1.0192264,-0.12459426
0.71676594,0.084492534
0.2389908,0.17356303
-0.018657722,-0.056646492
0.48577467,0.070981398
0.60998863,0.096241757
0.13007529,-0.10244908
0.53135788,-0.012393004
0.14218055,-0.003314456
0.30714157,-0.003314456
0.043533336,0.094022743
-0.50915527,0.012387367
-0.24928614,-0.025509456
-0.746059,-0.088728607
0.23779458,0.066369042
0.56251615,0.01449643
0.34544131,0.012048714
0.22004244,-0.001131389
-0.051261116,-0.018689899
0.85640955,-0.003314456
-0.16148779,-0.038802221
0.90917212,0.016449763
0.52048576,-0.003314456
0.19073407,-0.05503777
-0.24688114,-0.021778969
-0.080775306,-0.12120412
-0.741687,-0.24034066
0.044574004,0.1108677
0.70872861,0.095041834
-0.004596053,-0.10073192
0.46811524,-0.062311471
0.1132568,0.017590884
0.34775358,0.064500809
0.10991117,-0.003314456
0.64565676,0.012132631
0.1241288,-0.073158532
0.43469542,0.000844245
0.77233547,-0.003314456
-0.12535636,0.011056515
0.058103245,-0.003314456
0.023920797,0.050005239
1.3259356,0.12491611
-0.048773911,0.01989468
0.43786445,0.03330946
0.34331948,0.081996456
-0.19171633,-0.016917244
0.60658795,0.044458531
0.27493346,0.022211848
0.29273325,-0.018387007
0.36170614,0.011805268
0.48496458,-0.004215227
1.1575326,-0.018258672
0.25136223,-0.003314456
0.58474004,-0.003314456
-1.9419602,-0.24935357
0.87486535,-0.18028308
-0.49283564,0.035470705
-1.2232839,-0.006242006
-1.2232839,-0.006242006
-1.2232839,-0.006242006
0.36838672,0.046933614
0.50289929,-0.037839644
-0.16417147,-0.035796724
0.056350198,-0.059224803
0.71261317,0.12135682
-0.40290549,0.001727993
0.11929079,-0.003314456
0.63028836,-0.003314456
0.43929821,0.061000455
-0.096959822,0.07033582
-0.10705526,-0.003314456
0.026165416,0.041858412
-1.2592483,0.031707767
-0.4655211,-0.032028064
-0.26898986,-0.046330839
0.12643257,0.02262966
-1.4531045,-0.003314456
-0.78603286,0.1223771
0.045298524,-0.003314456
-0.59757841,-0.003314456
-0.27508566,-0.003314456
0.57815206,0.07423532
0.014571792,-0.015293029
0.44252133,0.011748014
0.57835239,0.040830631
0.20215712,0.036560241
0.037274797,0.047479142
0.010602133,0.033880435
0.15670204,-0.003314456
0.70009238,0.097870573
-0.15008578,-0.06861449
-0.55979431,-0.013250673
0.8089065,-0.034926042
0.500359,0.090759926
0.18056667,-0.063034616
0.013284419,0.002126901
0.90230209,0.062303882
0.48176527,-0.001343946
0.37923694,-0.003314456
0.18149437,-0.008177056
0.018517608,0.008052217
-0.40616506,-0.003314456
0.14548449,0.014854781
0.71544158,-0.0753913
0.21126032,0.054673418
0.45046738,0.091054559
-0.49870646,0.013379119
-0.54681993,-0.003314456
-0.32006517,-0.020906955
0.66512716,0.1322985
0.11596714,0.003786112
-0.48628601,-0.003314456
1.0068409,0.1575973
0.40384078,0.1628284
0.89346242,-0.16060227
-0.25193244,-0.003314456
0.29083341,-0.00406083
0.34050462,-0.00406083
-0.37385306,0.019903671
0.077483259,-0.003314456
-0.21470998,-0.014559466
0.18652961,0.01646769
0.43808126,0.090426393
0.0074221,-0.003314456
-0.20816936,-0.003314456
-0.071297258,-0.027960228
-0.15924764,-0.090344973
0.11681498,-0.003314456
0.56558001,-0.004574981
-0.1956051,-0.021276545
0.78352982,0.023873884
-0.24221914,-0.003314456
-0.12234316,-0.026324688
-0.11606506,-0.024728037
0.88461185,0.13638383
-0.26449805,0.02173838
0.45837456,-0.003314456
0.32553691,0.040818088
-0.31399274,0.12272021
0.22195536,0.062476907
0.20577788,0.060289122
1.3513104,-0.19017474
0.1091901,-0.003314456
-0.14363131,-0.16149803
0.46782055,-0.003043711
0.35994202,0.033895344
-0.45909801,0.023762437
0.62662166,-0.003314456
0.78486705,0.15080966
-0.51563036,0.15080966
0.41690469,0.07590618
0.043022286,0.071458682
0.21387452,0.050634712
0.77312213,0.034958318
-0.68803596,-0.003314456
-1.1160347,-0.04773267
-0.61754763,0.072809421
0.086243786,-0.027748374
-0.11875211,-0.067060538
-0.13371639,-0.035576385
-2.0321136,0.10134073
0.18372285,0.098791584
-0.29135579,0.002836748
0.54436547,0.029779045
0.19068404,-0.007226632
-0.39833564,-0.066365212
0.19068404,-0.007226632
0.26163667,-0.002600987
1.1322269,-0.003314456
0.16945341,0.18155907
0.007369371,-0.003314456
0.72529835,-0.008185345
-0.007954702,-0.31422967
-0.006527126,0.020191193
-0.16904868,-0.12311983
-0.41175219,-0.020641873
-0.31324667,0.019370897
0.19318089,-0.003314456
0.26898843,0.054429714
-0.071698248,0.029752435
-0.38805521,-0.14614789
0.2933577,0.052038129
-0.020575842,-0.003431241
-0.54341656,-0.12749949
-0.38698274,-0.003314456
-0.17517252,-0.016619761
-0.18926883,-0.016619761
-0.2023008,-0.11884489
0.46015453,0.082307056
0.17770648,-0.003314456
0.43656948,-0.067843594
0.57101965,0.050233886
-0.023902455,-0.003314456
0.14557536,0.023163548
0.17756216,-0.039029386
0.28118718,-0.003314456
0.40585861,-0.003314456
-0.033964004,-0.004864149
0.63411885,-0.12549418
-0.19740327,-0.003314456
0.012738709,-0.042037897
0.27148849,-0.12486623
-0.37855548,-0.073209725
0.59489739,-0.009912657
-0.38801864,-0.023461098
0.011947243,0.11011253
-0.77558464,-0.003314456
1.6954746,-0.003314456
-0.38938272,0.004317344
0.40448591,-0.003314456
0.35030767,-0.003314456
-0.19306225,-0.003314456
0.30925384,-0.046324097
0.58831877,-0.14439435
0.29964837,-0.003314456
1.2425441,0.078935251
0.47428748,-0.003314456
0.27244636,0.018757313
0.93456095,0.003881273
2.1488543,-0.003314456
-0.045469258,0.05296794
0.20694491,0.007685226
0.55664206,-0.003314456
-0.22887112,-0.003314456
0.96705806,0.006699426
1.1460985,0.11667212
0.58115184,-0.003314456
0.1763245,-0.003314456
-0.802863,-0.003314456
-2.5900123,0.028159905
0.60677934,0.15296327
0.69552201,0.13419251
0.7461853,0.18228325
-0.047421757,0.030067999
0.8547951,0.008903565
-0.12087999,-0.003314456
-0.98661214,-0.003314456
-1.1604493,-0.003314456
0.81583738,0.026728163
0.65546274,-0.003314456
0.22181904,-0.003314456
0.54626697,0.015981227
-0.76619381,-0.003314456
-0.11254049,-0.003314456
0.83527583,0.10969164
-0.94376808,-0.003314456
0.42149222,-0.23152076
0.5375542,-0.003314456
0.14921072,0.013278541
-0.35708985,-0.040754437
-0.034758281,-0.003314456
0.13098013,-0.003314456
0.24550049,0.013753409
0.71054476,-0.003314456
0.54115736,-0.003314456
0.11330807,-0.003314456
0.76277167,0.050405871
0.95523053,0.077784844
0.67447644,-0.003314456
-0.21830145,-0.003314456
0.9571144,-0.003314456
0.6246351,0.15315723
0.15957485,0.041241869
0.59686601,-0.012568588
0.37824675,-0.029262932
0.10547274,0.26953954
0.67277575,0.1155844
0.7090407,0.072762154
-0.34081817,-0.005857338
-0.66508627,0.003807675
0.17432116,-0.000857279
2.5341029,-0.009064613
1.3305155,0.087817654
-0.022713022,-0.003314456
0.19836091,-0.003314456
0.087820143,0.043430563
-0.60723263,-0.02691721
-0.73058063,-0.036962453
0.65195948,-0.003314456
0.20230623,-0.003314456
-0.022641446,-0.0289024
0.27442569,0.055329893
0.60367811,0.007840438
-0.13196433,-0.0291954
1.3999411,0.11972965
-0.8631019,-0.003314456
-0.20517409,-0.000313488
-0.25494933,-0.003314456
-0.010943002,-0.003314456
0.82877219,0.14774026
0.31342819,0.025168626
-0.038939066,-0.003314456
-0.061407309,0.028985744
0.20918339,0.028985744
0.12734783,-0.014574888
0.018245038,-0.065268561
0.80473274,-0.098567545
0.35286391,0.003708344
0.005371807,-0.12981185
1.2147217,0.014995971
0.76436174,-0.003314456
0.34609821,-0.003314456
-0.3759127,-0.003314456
-0.84709412,-0.003314456
-0.22384019,-0.003314456
0.61945981,0.024841014
0.0511619,0.069840692
0.86475551,-0.10311127
0.40256363,0.01155707
0.66480511,-0.096820936
0.73884141,-0.003314456
0.73884141,-0.003314456
0.36295152,0.062265702
1.6603919,-0.003314456
-1.1504524,-0.1060157
0.30654937,-0.12962744
1.0283808,0.12238634
1.1622071,-0.003314456
0.73688519,0.11884578
0.26742074,-0.12967962
-0.69469714,-0.003314456
0.66505373,-0.003314456
0.36147374,0.000574251
0.056909047,0.003784737
0.85957068,0.10562868
-0.040013015,0.026518637
0.023482895,-0.10738053
-0.96773934,-0.003314456
-0.17679155,-0.086644717
0.20240466,0.077894859
-0.4768756,0.18931414
0.075180121,-0.003314456
0.43322214,-0.003314456
0.37631822,0.002557507
0.032786593,0.031651746
0.58164424,0.00753291
0.26619735,0.00753291
0.21509433,0.004755585
0.15464702,-0.015862826
-0.1373287,-0.04194149
0.39036319,-0.045126796
-0.21421704,-0.16269191
0.30556899,-0.000961096
0.38751909,0.045827631
1.1812907,0.017317303
0.63688892,-0.011860072
0.96183842,0.15974696
-0.10432756,0.017187538
0.045712899,0.017187538
-0.42901433,0.008574592
-0.66946381,0.052911077
-0.04724605,-0.002780731
-0.40414122,-0.003314456
0.98596269,-0.13655126
-0.54219371,-0.034817453
0.64690733,0.007596692
-0.6689924,-0.003314456
