pidp,eta_hat,wgt
68046939,-0.031019374,1.032917023
68046939,-0.161669331,1.001192689
68046939,-0.071865217,0.973107934
68048287,-0.801183037,1.111091614
68048287,-0.415682591,1.068187356
68048287,0.098085295,1.030065894
68048287,-0.262508412,0.997533381
68048287,0.049315315,1.283286333
68048287,-0.11537439,1.30635047
68048287,0.043153207,1.323952436
68049647,-0.023702758,1.429301143
68049647,0.101228146,1.396820188
68049647,0.18122177,1.521009684
68049647,0.088235158,1.482307792
68049647,0.02751922,1.654045463
68049647,0.143670504,1.600282669
68049647,0.07753826,1.572999001
68049647,0.428059978,1.545886278
68049647,0.234836647,1.463084579
68049647,0.426724795,1.362702608
68049647,0.357479327,1.341587067
68049647,-0.330774044,1.306158543
68049651,0.024535651,1.347019076
68049651,0.180220677,1.316408038
68049651,0.162257882,1.433448195
68049651,0.095521649,1.396974206
68049651,-0.053433991,1.570863247
68049651,0.135763557,1.51980412
68049651,0.061096667,1.479150534
68049651,0.393502683,1.453655481
68049651,0.346186749,1.375793815
68049651,0.406684919,1.2814008
68049651,0.336805469,1.261545062
68049651,-0.353991278,1.228230238
68049655,0.102663962,1.787533522
68049655,0.221732124,1.828027368
68049659,0.195888012,1.602161527
68049659,0.228860077,1.638455987
68049659,0.160586676,1.935008526
68049659,0.101978764,2.007983923
68049659,0.051842656,2.04731822
68049659,0.178206862,2.095395088
68049659,0.136607235,2.141847134
68049659,0.378017986,2.211328268
68049659,0.298395406,2.153906345
68049659,0.368438074,2.006127119
68049659,0.233730718,2.097227573
68049659,-0.490340719,2.118597269
68051007,-0.039520786,1.291739464
68051007,0.020323727,1.218134642
68051007,0.299275541,1.174630284
68051007,0.078198514,1.136126876
68051007,0.054861691,1.24857831
68051007,0.545831789,1.172402382
68051007,0.051561839,1.118264675
68051007,0.232478086,1.063231349
68051007,-0.761932476,1.006281853
68051007,0.040208164,0.966667354
68051007,-0.13576523,0.936594486
68051007,0.108939051,0.911861002
68051011,0.154260873,0.919654131
68051011,-0.01673399,0.867251158
68051011,0.384926774,0.83627826
68051011,0.023332509,0.808865786
68051011,0.183761068,0.675516307
68051011,0.437117519,0.634302974
68051011,0.114882343,0.600754559
68051011,0.178136026,0.571189523
68051011,-0.653049609,0.540595114
68051011,0.086780681,0.509399593
68051011,-0.314791712,0.493552297
68051011,0.009533717,0.480518609
68051687,0.120618038,1.436202884
68051687,-0.02910717,1.41997087
68051691,0.075229273,1.247223139
68051691,0.023263562,1.233126998
68056447,0.000451909,1.17954576
68056447,0.018816229,1.221090317
68056447,-0.038858017,1.216037273
68056447,-0.256024433,1.212755203
68056447,-0.079991322,1.548713923
68056447,-0.03082542,1.554886699
68056447,-0.321222908,1.562736392
68056447,-0.629807595,1.576141596
68056447,0.234576661,1.570625782
68056447,-0.034901212,1.509786844
68056447,0.158879705,1.48835206
68056447,0.357866688,1.55144012
68056451,0.059906094,1.153013945
68056451,-0.01923578,1.171877384
68056451,-0.036946721,1.167028069
68056451,-0.220187596,1.150888681
68056451,-0.005002542,1.469542861
68056451,-0.048803142,1.47540009
68056451,-0.2706016,1.465194225
68056451,-0.6291489,1.459163427
68056451,0.197303098,1.454056978
68056451,0.234903059,1.39773345
68056451,-0.048950173,1.377889514
68056451,0.276917074,1.436295271
68056455,0.202042379,1.001123905
68056455,0.08783665,1.110101342
68056455,0.221224349,1.155167937
68056455,-0.189114718,1.220948458
68056455,-0.958480876,1.56494534
68056455,-1.195013137,1.69697094
68056455,-1.158798915,1.901296854
68056455,0.444350957,2.165395737
68056455,0.451133847,2.167065859
68056455,0.396348886,2.083123684
68056455,0.219520129,2.182872534
68056455,0.432975764,2.481097698
68056459,0.005283007,1.010480762
68056459,-0.105602477,1.046070695
68056459,-0.001157411,1.045022011
68056459,-0.144944604,1.051375747
68056459,0.144270079,1.381297827
68056459,0.055735479,1.409759879
68056459,-0.326001667,1.485078931
68056459,-0.547833913,1.566210866
68056459,0.051075337,1.661368728
68056459,-0.071553921,1.597014904
68056459,-0.028705095,1.637292862
68056459,0.382731219,1.860980749
68056463,0.040467797,1.010480762
68056463,0.116549872,1.046070695
68056463,-0.078995848,1.045022011
68056463,-0.137482723,1.051375747
68056463,-0.081365952,1.381297827
68056463,-0.001054568,1.409759879
68056463,-0.174626697,1.4120754
68056463,-0.470580213,1.447234631
68056463,0.328668724,1.535163879
68056463,0.29656464,1.516688943
68056463,-0.079050595,1.554941058
68056463,0.126108817,1.767377973
68058485,-0.237601626,1.537639976
68058485,0.037601082,1.474491
68058485,-0.006902239,1.419365168
68058485,-0.509402664,1.290572166
68058485,0.206945488,1.218393445
68058485,0.096342175,1.162318707
68058485,0.045938079,1.103933334
68058485,0.119978212,1.028826475
68058485,0.202150201,0.981722951
68058485,0.060897136,0.961363435
68058485,0.046957876,0.93597585
68058487,-0.353550789,1.144007206
68058487,-0.254285699,1.103737712
68058487,-0.108882822,1.056413531
68058487,-0.186367859,1.016918182
68058487,-0.285582101,1.171891332
68058487,-0.064051419,1.086842537
68058487,-0.073752986,1.022976875
68058487,-0.247414716,0.960378647
68058487,-0.188818367,0.908938289
68058487,-0.048403984,0.873155951
68058487,0.174994992,0.841712356
68058487,0.8894821,0.819484413
68058489,-0.203471473,1.519161701
68058489,0.055209862,1.456771731
68058489,-0.028450653,1.402308464
68058489,-0.499979014,1.25127387
68058489,0.151525178,1.181292892
68058489,0.11323653,1.118976474
68058489,0.111102658,1.062768221
68058489,0.166361976,0.990462065
68058489,0.14361912,0.936290145
68058489,0.074932466,0.916872799
68058489,0.070217269,0.892660081
68058491,-0.285528696,1.064074993
68058491,-0.228020233,1.026619077
68058491,-0.161990417,0.982601523
68058491,-0.250552639,0.945865691
68058491,-0.356271683,1.099159598
68058491,-0.108373519,1.019389153
68058491,-0.084540591,0.953959048
68058491,-0.224809493,0.895584166
68058491,-0.144930193,0.847614348
68058491,-0.050508771,0.814246118
68058491,0.201722888,0.784923911
68058491,0.913429823,0.764195681
68059167,0.38028827,1.223913074
68059167,0.512124459,1.173668742
68059171,0.359144431,1.16161859
68059171,0.473620188,1.156262994
68059171,-0.51989376,1.137433171
