pidp,alpha_sim,wgt_indiv
68230539,-.068761915,.7856413125991821
68231211,.018199824,4.040144443511963
68231223,.031570263,4.449805736541748
68231227,-.00396366,4.723860740661621
68231887,.007512982,1.72928512096405
68238007,-.035769079,1.200364112854004
68238011,.0036359632,1.101364612579346
68239367,-.15772368,1.330806493759155
68241407,.21530013,1.767403364181519
68244127,.1296678,.9034002423286438
68244131,.10618252,1.130190491676331
68244807,-.038909499,1.0900559425354
68244811,-.025470117,1.015358090400696
68244819,-.026691452,1.182379603385925
68245002,.028050829,1.118559598922729
68246167,-.012675306,1.036055684089661
68246171,-.0089190369,1.16163957118988
